,net_manager,purchase_area,street,zipcode_from,zipcode_to,city,num_connections,delivery_perc,perc_of_active_connections,type_conn_perc,type_of_connection,annual_consume,year
126,8716912000008,871691280000000008,Van Echtenplein,7902EE,7902EE,HOOGEVEEN,23.0,95.65,100.0,96.0,1x40,2428,2015
127,8716912000008,871691280000000008,Hoofdstraat,7902EG,7902EG,HOOGEVEEN,66.0,100.0,100.0,44.0,1x25,9025,2015
128,8716912000008,871691280000000008,Hoofdstraat,7902EH,7902EH,HOOGEVEEN,13.0,100.0,100.0,46.0,3x25,33607,2015
129,8716912000008,871691280000000008,Hoofdstraat,7902EJ,7902EJ,HOOGEVEEN,14.0,100.0,100.0,43.0,3x35,25384,2015
130,8716912000008,871691280000000008,van Echtenstraat,7902EK,7902EK,HOOGEVEEN,36.0,100.0,100.0,36.0,1x40,4668,2015
131,8716912000008,871691280000000008,van Echtenstraat,7902EL,7902EL,HOOGEVEEN,21.0,95.24,100.0,38.0,1x25,3407,2015
132,8716912000008,871691280000000008,van Echtenstraat,7902EM,7902EM,HOOGEVEEN,13.0,100.0,100.0,38.0,1x40,3706,2015
133,8716912000008,871691280000000008,van Echtenstraat,7902EN,7902EN,HOOGEVEEN,14.0,100.0,100.0,57.0,3x25,4985,2015
134,8716912000008,871691280000000008,van Echtenstraat,7902EP,7902EP,HOOGEVEEN,24.0,100.0,100.0,46.0,1x25,3031,2015
135,8716912000008,871691280000000008,van Echtenstraat,7902ER,7902ER,HOOGEVEEN,10.0,100.0,100.0,40.0,1x25,3179,2015
136,8716912000008,871691280000000008,Jakob Elemastraat,7902ET,7902EV,HOOGEVEEN,14.0,100.0,100.0,93.0,1x25,1529,2015
137,8716912000008,871691280000000008,Van Echtenstraat,7902EW,7902EW,HOOGEVEEN,21.0,100.0,100.0,81.0,1x25,2137,2015
138,8716912000008,871691280000000008,Bentinckslaan,7902GA,7902GA,HOOGEVEEN,11.0,100.0,100.0,45.0,1x25,3509,2015
139,8716912000008,871691280000000008,Bentinckslaan,7902GB,7902GB,HOOGEVEEN,20.0,100.0,100.0,50.0,1x25,2514,2015
140,8716912000008,871691280000000008,Bentinckslaan,7902GC,7902GC,HOOGEVEEN,22.0,100.0,100.0,45.0,1x25,4891,2015
141,8716912000008,871691280000000008,Bentinckslaan,7902GD,7902GD,HOOGEVEEN,10.0,100.0,100.0,60.0,1x40,2978,2015
142,8716912000008,871691280000000008,Bentinckslaan,7902GE,7902GG,HOOGEVEEN,32.0,96.88,100.0,41.0,1x40,4422,2015
143,8716912000008,871691280000000008,Bentinckslaan,7902GH,7902GH,HOOGEVEEN,32.0,100.0,100.0,47.0,1x40,3337,2015
144,8716912000008,871691280000000008,Bentinckslaan,7902GJ,7902GJ,HOOGEVEEN,12.0,100.0,100.0,75.0,1x40,3312,2015
145,8716912000008,871691280000000008,Tamboerpassage,7902GK,7902GK,HOOGEVEEN,13.0,100.0,76.92,62.0,3x25,15470,2015
146,8716912000008,871691280000000008,Tamboerpassage,7902GL,7902GM,HOOGEVEEN,11.0,100.0,100.0,55.0,3x25,28044,2015
147,8716912000008,871691280000000008,Tamboerpassage,7902GN,7902GP,HOOGEVEEN,18.0,100.0,100.0,44.0,1x25,6418,2015
148,8716912000008,871691280000000008,Tamboerpassage,7902GR,7902GR,HOOGEVEEN,12.0,100.0,100.0,83.0,1x25,2691,2015
149,8716912000008,871691280000000008,Tamboerpassage,7902GS,7902GS,HOOGEVEEN,14.0,100.0,100.0,57.0,1x25,2565,2015
150,8716912000008,871691280000000008,Tamboerpassage,7902GT,7902HA,HOOGEVEEN,16.0,100.0,93.75,56.0,3x25,5813,2015
151,8716912000008,871691280000000008,Jonkheer de Jongestraat,7902HB,7902HD,HOOGEVEEN,21.0,95.24,100.0,29.0,3x25,2928,2015
152,8716912000008,871691280000000008,Notaris Mulderstraat,7902HE,7902HJ,HOOGEVEEN,25.0,100.0,100.0,60.0,1x25,6046,2015
153,8716912000008,871691280000000008,Adriaan Baasstraat,7902HK,7902HK,HOOGEVEEN,16.0,100.0,100.0,63.0,1x25,1437,2015
154,8716912000008,871691280000000008,Adriaan Baasstraat,7902HL,7902HM,HOOGEVEEN,40.0,100.0,100.0,58.0,1x40,4593,2015
155,8716912000008,871691280000000008,Adriaan Baasstraat,7902HN,7902HN,HOOGEVEEN,22.0,100.0,100.0,55.0,1x40,2455,2015
